global timestep: 2472172, episodic_reward: [3.7739792]
global timestep: 2472176, episodic_reward: [-1.0391023]
global timestep: 2472400, episodic_reward: [-0.5533298]
global timestep: 2472608, episodic_reward: [0.9180751]
global timestep: 2472692, episodic_reward: [-1.8330716]
global timestep: 2472804, episodic_reward: [-1.7998486]
global timestep: 2473196, episodic_reward: [-1.880737]
global timestep: 2473752, episodic_reward: [-0.79141945]
global timestep: 2473824, episodic_reward: [-0.3755387]
global timestep: 2474180, episodic_reward: [-1.0593171]
global timestep: 2474380, episodic_reward: [0.02303135]
global timestep: 2474460, episodic_reward: [-0.81875813]
global timestep: 2474756, episodic_reward: [-0.83186203]
global timestep: 2474788, episodic_reward: [-0.90103585]
global timestep: 2474880, episodic_reward: [-0.20253229]
global timestep: 2475600, episodic_reward: [-0.44480693]
global timestep: 2475672, episodic_reward: [0.72025466]
global timestep: 2475916, episodic_reward: [0.59485424]
global timestep: 2476004, episodic_reward: [-2.0704117]
global timestep: 2476028, episodic_reward: [-1.1782329]
global timestep: 2476276, episodic_reward: [-1.0922676]
global timestep: 2476976, episodic_reward: [-0.0113368]
global timestep: 2477112, episodic_reward: [0.5993762]
global timestep: 2477336, episodic_reward: [-1.9487998]
global timestep: 2477380, episodic_reward: [-0.5819588]
global timestep: 2477400, episodic_reward: [0.2979437]
global timestep: 2477540, episodic_reward: [-0.84907955]
global timestep: 2477644, episodic_reward: [-1.7572181]
global timestep: 2477668, episodic_reward: [-1.6813242]
global timestep: 2477804, episodic_reward: [-0.2466503]
global timestep: 2477856, episodic_reward: [-0.66973567]
global timestep: 2477916, episodic_reward: [-1.4266522]
global timestep: 2478320, episodic_reward: [-0.46849987]
global timestep: 2479232, episodic_reward: [-0.13085556]
global timestep: 2479332, episodic_reward: [-0.89161706]
global timestep: 2479440, episodic_reward: [-0.83433676]
global timestep: 2479808, episodic_reward: [-0.12797487]
global timestep: 2479816, episodic_reward: [0.1960932]
global timestep: 2480212, episodic_reward: [-1.0467032]
global timestep: 2480280, episodic_reward: [0.78232855]
global timestep: 2480696, episodic_reward: [-1.3526359]
global timestep: 2480796, episodic_reward: [-0.24493833]
global timestep: 2480948, episodic_reward: [0.1653961]
global timestep: 2481628, episodic_reward: [-1.2436593]
global timestep: 2481660, episodic_reward: [-0.90122736]
global timestep: 2481860, episodic_reward: [-2.0142667]
global timestep: 2482064, episodic_reward: [-1.0834621]
global timestep: 2482064, episodic_reward: [-1.5950643]
global timestep: 2482108, episodic_reward: [0.7205956]
global timestep: 2482268, episodic_reward: [-0.89356416]
global timestep: 2482396, episodic_reward: [-0.9946442]
global timestep: 2482672, episodic_reward: [-1.9022527]
global timestep: 2482816, episodic_reward: [-0.94440746]
global timestep: 2483040, episodic_reward: [-1.9234028]
global timestep: 2483152, episodic_reward: [-0.31779623]
global timestep: 2483168, episodic_reward: [-1.6288851]
global timestep: 2483176, episodic_reward: [-2.3067505]
global timestep: 2483444, episodic_reward: [-0.18791397]
global timestep: 2483640, episodic_reward: [-1.853088]
global timestep: 2484080, episodic_reward: [0.87706083]
global timestep: 2484484, episodic_reward: [-0.32221165]
global timestep: 2484532, episodic_reward: [-0.10453117]
global timestep: 2484572, episodic_reward: [-1.2562753]
global timestep: 2484752, episodic_reward: [-0.36559975]
global timestep: 2484808, episodic_reward: [-2.2627807]
global timestep: 2485156, episodic_reward: [-1.7584047]
global timestep: 2485472, episodic_reward: [-1.2006974]
global timestep: 2485844, episodic_reward: [2.3172333]
global timestep: 2486148, episodic_reward: [0.6488769]
global timestep: 2486356, episodic_reward: [-1.3414565]
global timestep: 2486380, episodic_reward: [-0.34866214]
global timestep: 2486540, episodic_reward: [-1.466493]
global timestep: 2486760, episodic_reward: [-1.8396883]
global timestep: 2486780, episodic_reward: [-2.018126]
global timestep: 2487020, episodic_reward: [-1.9393625]
global timestep: 2487244, episodic_reward: [-1.3328689]
global timestep: 2487264, episodic_reward: [2.2421155]
global timestep: 2487440, episodic_reward: [0.36089218]
global timestep: 2487448, episodic_reward: [-1.2275574]
global timestep: 2487796, episodic_reward: [-1.0157729]
global timestep: 2487824, episodic_reward: [-1.2287493]
global timestep: 2487924, episodic_reward: [-1.5684627]
global timestep: 2488016, episodic_reward: [-0.7006765]
global timestep: 2488096, episodic_reward: [-1.9134635]
global timestep: 2488300, episodic_reward: [-0.87651986]
global timestep: 2488300, episodic_reward: [-1.2584296]
global timestep: 2488772, episodic_reward: [-1.924238]
global timestep: 2488816, episodic_reward: [-1.9891887]
global timestep: 2489048, episodic_reward: [-1.3171635]
global timestep: 2489400, episodic_reward: [-2.061775]
global timestep: 2489744, episodic_reward: [-0.1502595]
global timestep: 2489756, episodic_reward: [-0.9295171]
global timestep: 2490000, episodic_reward: [0.08880097]
global timestep: 2490096, episodic_reward: [-1.2464508]
global timestep: 2490128, episodic_reward: [-1.4117632]
global timestep: 2490456, episodic_reward: [-1.2265235]
global timestep: 2490580, episodic_reward: [-0.6826037]
global timestep: 2491084, episodic_reward: [-0.08384359]
global timestep: 2491532, episodic_reward: [-0.85750294]
global timestep: 2491540, episodic_reward: [0.9918321]
global timestep: 2491592, episodic_reward: [-0.6269177]
global timestep: 2491700, episodic_reward: [-0.23719598]
global timestep: 2491944, episodic_reward: [-0.18936796]
global timestep: 2492096, episodic_reward: [-1.155793]
global timestep: 2492104, episodic_reward: [-0.3207478]
global timestep: 2492348, episodic_reward: [-0.41857415]
global timestep: 2492584, episodic_reward: [-2.0971513]
global timestep: 2492608, episodic_reward: [-1.2878442]
global timestep: 2492792, episodic_reward: [-1.6235003]
global timestep: 2493064, episodic_reward: [-0.91486037]
global timestep: 2493156, episodic_reward: [-1.4259719]
global timestep: 2493268, episodic_reward: [-0.9526967]
global timestep: 2493276, episodic_reward: [-1.2309457]
global timestep: 2493480, episodic_reward: [-1.4734251]
global timestep: 2494216, episodic_reward: [-0.93134063]
global timestep: 2494312, episodic_reward: [-0.45553827]
global timestep: 2494700, episodic_reward: [-1.6122265]
global timestep: 2494824, episodic_reward: [0.9652958]
global timestep: 2494972, episodic_reward: [-2.3280113]
global timestep: 2495052, episodic_reward: [-0.21309735]
global timestep: 2495188, episodic_reward: [2.1532454]
global timestep: 2495456, episodic_reward: [-1.1760178]
global timestep: 2495660, episodic_reward: [-1.1601702]
global timestep: 2495768, episodic_reward: [-1.6966833]
global timestep: 2495844, episodic_reward: [-1.63203]
global timestep: 2495920, episodic_reward: [-1.6727473]
global timestep: 2496040, episodic_reward: [-1.8982778]
global timestep: 2496252, episodic_reward: [-1.2652093]
global timestep: 2496556, episodic_reward: [-1.9281088]
global timestep: 2496620, episodic_reward: [-0.56445515]
global timestep: 2496656, episodic_reward: [-1.4299741]
global timestep: 2496872, episodic_reward: [-2.0924907]
global timestep: 2496900, episodic_reward: [-2.082131]
global timestep: 2497092, episodic_reward: [-1.4235094]
global timestep: 2497100, episodic_reward: [-0.2637775]
global timestep: 2497148, episodic_reward: [-2.0761192]
global timestep: 2497276, episodic_reward: [-0.37202212]
global timestep: 2497296, episodic_reward: [-1.4603778]
global timestep: 2497460, episodic_reward: [-1.465449]
global timestep: 2497772, episodic_reward: [-2.217436]
global timestep: 2498044, episodic_reward: [-0.95079327]
global timestep: 2498232, episodic_reward: [-1.8317597]
global timestep: 2498492, episodic_reward: [-1.2818289]
global timestep: 2498976, episodic_reward: [1.4185128]
global timestep: 2499028, episodic_reward: [-1.1700734]
global timestep: 2499204, episodic_reward: [-1.1903628]
global timestep: 2499416, episodic_reward: [0.89542985]
global timestep: 2499708, episodic_reward: [-1.6376166]
global timestep: 2499840, episodic_reward: [4.234121]
global timestep: 2499968, episodic_reward: [-1.4914762]
global timestep: 2500176, episodic_reward: [-1.255822]
global timestep: 2500244, episodic_reward: [-1.6682193]
global timestep: 2500448, episodic_reward: [-0.94511455]
global timestep: 2500648, episodic_reward: [-0.98293984]
global timestep: 2500932, episodic_reward: [-1.1900693]
global timestep: 2500964, episodic_reward: [-0.5902043]
global timestep: 2501160, episodic_reward: [-2.0167892]
global timestep: 2501180, episodic_reward: [-0.54159474]
global timestep: 2502456, episodic_reward: [-0.08345377]
global timestep: 2503020, episodic_reward: [0.7142525]
global timestep: 2503324, episodic_reward: [-1.3239595]
global timestep: 2503404, episodic_reward: [2.0370889]
global timestep: 2503404, episodic_reward: [0.9528872]
global timestep: 2503544, episodic_reward: [-1.0015031]
global timestep: 2503588, episodic_reward: [-1.0876156]
global timestep: 2503800, episodic_reward: [-1.8108475]
global timestep: 2504012, episodic_reward: [-1.72085]
global timestep: 2504168, episodic_reward: [-1.0388789]
global timestep: 2504220, episodic_reward: [-1.4746504]
global timestep: 2504284, episodic_reward: [-1.5450902]
global timestep: 2504688, episodic_reward: [-0.34932426]
global timestep: 2504732, episodic_reward: [-1.1995926]
global timestep: 2504760, episodic_reward: [-0.95653355]
global timestep: 2505092, episodic_reward: [-0.48855406]
global timestep: 2505136, episodic_reward: [-0.49034306]
